2024-04-12 20:42:21,548 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}]
2024-04-12 20:42:21,549 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}]
2024-04-12 20:42:21,549 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 0.0, 'voltage': 0.0, 'power': 0.0}]
2024-04-12 20:42:21,550 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:22,557 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:22,559 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:22,561 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:22,563 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:23,567 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:23,569 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:23,570 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:23,571 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:24,576 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:24,577 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:24,578 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
2024-04-12 20:42:24,580 INFO data: [{'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}, {'state': 0, 'current': 1.0, 'voltage': 2.0, 'power': 3.0}]
